"FISCAL YEAR","COUNTY NUMBER","COUNTY NAME","TAXES LEVIED ON PROPERTY","LESS: UNCOLLECTED DELINQUENT TAXES - LEVY YEAR","LESS: CREDITS TO TAXPAYERS","NET CURRENT PROPERTY TAXES","DELINQUENT PROPERTY TAX REVENUE","PENALTIES, INTEREST & COSTS ON TAXES","OTHER COUNTY TAXES/TIF TAX REVENUES","INTERGOVERNMENTAL","LICENSES & PERMITS","CHARGES FOR SERVICE","USE OF MONEY & PROPERTY","MISCELLANEOUS","SUBTOTAL REVENUES","GENERAL LONG-TERM DEBT PROCEEDS","OPERATING TRANSFERS IN","PROCEEDS OF CAPITAL ASSET SALES","TOTAL REVENUES & OTHER SOURCES","LOCATION"
"2020","58","Louisa","5,434,056","0","0","5,434,056","2,516","19,592","1,387,169","3,930,410","50,240","577,828","145,056","176,376","11,723,243","0","2,685,019","0","14,408,262",
"2018","7","Black Hawk","36,336,056","0","2,005,784","34,330,272","9,412","353,761","4,594,944","15,755,283","585,023","5,038,628","775,387","2,006,554","63,449,264","0","9,048,274","140,378","72,637,916",
"2020","68","Monroe","5,369,119","0","269,752","5,099,367","120","18,078","634,457","3,628,069","3,304","237,831","169,656","93,325","9,884,207","550,931","1,379,922","400","11,815,460",
"2021","75","Plymouth","11,496,978","0","525,640","10,971,338","102,086","103,601","2,668,911","10,568,287","30,463","1,326,610","383,727","1,095,140","27,250,163","0","4,707,000","0","31,957,163",
"2022","87","TAYLOR","4,784,540","0","283,126","4,501,414","2,104","47,209","447,858","6,666,682","6,885","388,287","31,694","212,606","12,304,739","0","957,672","0","13,262,411",
"2013","38","GRUNDY","5,207,517","0","247,034","4,960,483","509","36,472","615,871","5,633,648","9,460","366,221","54,124","160,575","11,837,363","0","1,451,526","0","13,288,889",
"2024","2","ADAMS","5,237,927","0","163,551","5,074,376","98","22,659","613,366","3,818,904","37,525","660,959","399,271","171,332","10,798,490","0","1,539,146","0","12,337,636",
"2019","20","Clarke","4,811,393","103,585","203,627","4,504,181","742","47,389","343,833","3,883,508","33,394","303,431","122,015","355,467","9,593,960","810,914","0","450","10,405,324",
"2019","67","Monona","5,791,744","0","0","5,791,744","4,680","33,599","452,681","5,574,073","11,301","288,557","167,964","345,519","12,670,118","2,997,769","0","0","15,667,887",
"2022","36","FREMONT","5,909,151","3,963","293,799","5,611,389","4,431","41,594","760,518","8,280,639","26,964","431,782","161,313","97,550","15,416,180","106,840","1,391,261","85,798","17,000,079",
"2019","4","Appanoose","4,448,516","0","377,167","4,071,349","464","70,350","1,290,679","4,292,573","2,695","376,511","159,113","169,043","10,432,777","630,654","103,283","0","11,166,714",
"2017","54","KEOKUK","5,160,385","320,992","360,446","4,478,947","3,309","41,799","586,715","4,039,895","34,164","571,124","446,670","214,024","10,416,647","0","1,714,500","0","12,131,147",
"2021","3","Allamakee","7,901,987","1,138","458,204","7,442,645","65,581","51,882","1,205,257","5,815,557","24,900","438,968","121,082","135,287","15,301,159","4,640","1,973,755","0","17,279,554",
"2018","34","Floyd","6,066,874","0","356,796","5,710,078","530","64,247","1,632,706","5,644,006","76,077","538,207","329,882","636,896","14,632,629","0","1,340,940","1,324","15,974,893",
"2023","57","LINN","74,121,712","29,792","1,995,714","72,096,206","-29,001","520,125","9,943,691","42,185,924","1,869,112","9,483,407","4,064,393","1,360,457","141,494,314","1,613,186","26,439,188","139,070","169,685,758",
"2020","32","Emmet","5,042,498","22,488","324,107","4,695,903","65","12,032","405,478","3,521,538","15,715","371,261","151,439","309,323","9,482,754","0","1,051,920","0","10,534,674",
"2017","86","TAMA","9,245,860","14,570","628,880","8,602,410","1,080","63,690","801,091","7,243,861","23,290","744,703","97,578","89,212","17,666,915","0","2,333,702","1,013","20,001,630",
"2020","53","Jones","8,469,485","47,830","532,102","7,889,553","162","26,186","1,194,223","6,239,750","69,933","700,495","347,487","483,611","16,951,400","448,000","2,338,072","63,147","19,800,619",
"2019","62","Mahaska","8,471,280","0","497,949","7,973,331","254","47,813","1,324,831","5,319,149","19,639","662,014","154,010","647,810","16,148,851","3,267,947","4,784,359","0","24,201,157",
"2023","69","MONTGOMERY","6,626,153","0","336,355","6,289,798","220","47,318","776,614","4,510,511","7,308","330,997","40,252","181,432","12,184,450","0","1,095,000","0","13,279,450",
"2022","68","MONROE","5,376,180","0","254,861","5,121,319","637","35,268","700,474","4,827,569","6,138","281,511","64,121","49,598","11,086,635","0","2,248,956","0","13,335,591",
"2013","6","BENTON","8,421,571","2,972","453,370","7,965,229","2,375","67,603","1,119,824","7,393,783","56,567","1,211,301","268,115","331,292","18,416,089","38,719","3,700,954","9,196","22,164,958",
"2012","63","MARION","9,916,332","0","314,899","9,601,433","7,383","93,401","1,502,154","7,660,086","32,281","1,171,189","136,567","481,812","20,686,306","3,575,000","2,977,489","39,089","27,277,884",
"2021","35","Franklin","8,262,015","1,250","601,430","7,659,335","135,856","83,561","4,739,116","9,105,178","26,794","544,387","216,287","124,033","22,634,547","0","3,232,705","100,134","25,967,386",
"2018","71","Obrien","6,798,320","0","413,321","6,384,999","945","42,262","886,641","5,647,011","121,359","627,722","293,350","222,576","14,226,865","0","2,083,135","0","16,310,000",
"2013","53","JONES","6,975,151","1,364","337,934","6,635,853","1,211","45,649","1,030,718","5,144,135","56,401","596,908","193,512","1,031,358","14,735,745","0","1,693,284","31,318","16,460,347",
"2021","86","Tama","9,961,051","193,168","512,196","9,255,687","144,822","99,016","1,340,599","9,680,802","25,798","652,360","98,765","522,481","21,820,330","0","3,248,810","32,393","25,101,533",
"2010","29","DES MOINES","11,581,964","11,739","458,947","11,111,278","8,408","163,033","2,573,955","9,383,984","57,872","847,872","181,721","398,945","24,727,068","0","1,643,837","0","26,370,905",
"2010","39","GUTHRIE","2,889,728","0","0","2,889,728","543","44,792","1,012,562","5,625,736","23,685","444,249","188,176","670,349","10,899,820","0","1,284,041","30","12,183,891",
"2022","30","DICKINSON","11,850,787","872","335,466","11,514,449","-3,205","96,933","2,594,678","9,507,446","76,200","1,017,383","130,726","620,540","25,555,150","0","5,104,327","215,000","30,874,477",
"2016","5","AUDUBON","3,648,368","0","239,507","3,408,861","893","18,805","432,605","4,202,100","21,351","276,574","30,356","161,538","8,553,083","917,212","993,784","5,800","10,469,879",
"2011","62","MAHASKA","7,060,364","0","248,600","6,811,764","1,265","64,299","1,350,620","5,714,084","17,658","560,358","239,157","815,082","15,574,287","0","1,696,285","0","17,270,572",
"2018","29","Des Moines","13,152,954","6,620","867,249","12,279,085","8,142","131,922","2,615,513","6,654,856","59,060","1,000,050","316,258","2,469,772","25,534,658","2,806,980","2,235,946","22,451","30,600,035",
"2015","67","MONONA","5,652,684","0","293,624","5,359,060","318","34,393","472,482","4,232,558","14,015","246,024","253,806","239,374","10,852,030","0","1,624,461","0","12,476,491",
"2013","96","WINNESHIEK","7,941,600","409","344,750","7,596,441","391","52,186","1,444,901","5,305,147","18,282","701,479","153,981","845,829","16,118,637","0","2,038,060","100,105","18,256,802",
"2013","1","ADAIR","4,733,711","3,592","206,579","4,523,540","586","34,847","867,849","3,473,523","13,350","210,204","71,866","93,423","9,289,188","0","2,218,266","59,290","11,566,744",
"2010","71","OBRIEN","5,197,759","870","277,129","4,919,760","933","40,933","623,589","5,365,380","77,387","418,139","169,217","175,303","11,790,641","0","1,296,793","9,538","13,096,972",
"2014","29","DES MOINES","12,364,097","0","0","12,364,097","5,371","160,934","2,524,774","6,324,788","69,892","904,354","130,804","498,234","22,983,248","1,472,259","3,397,335","0","27,852,842",
"2011","94","WEBSTER","11,663,070","0","347,648","11,315,422","773","115,792","2,847,064","12,046,217","67,051","1,096,258","268,176","126,517","27,883,270","7,404,307","3,379,592","0","38,667,169",
"2014","12","BUTLER","5,691,635","0","0","5,691,635","710","49,954","877,647","28,432,840","37,680","521,074","450,558","715,157","36,777,255","1,588,772","2,185,820","9,731","40,561,578",
"2017","1","ADAIR","4,901,061","2,413","416,594","4,482,054","521","36,412","2,818,002","4,351,320","14,042","247,730","49,808","61,189","12,061,078","100,000","1,617,903","150","13,779,131",
"2016","37","GREENE","4,925,192","0","307,454","4,617,738","1,215","25,656","782,419","4,818,466","49,345","451,768","49,112","461,874","11,257,593","0","1,570,072","25,225","12,852,890",
"2014","34","FLOYD","5,797,783","0","325,314","5,472,469","1,003","45,877","1,403,168","4,682,057","29,914","449,753","92,949","764,928","12,942,118","0","1,466,333","0","14,408,451",
"2012","78","POTTAWATTAMIE","31,425,050","0","0","31,425,050","9,795","318,477","8,256,763","17,734,291","189,378","2,683,601","268,777","2,026,387","62,912,519","0","7,907,943","0","70,820,462",
"2017","96","WINNESHIEK","9,223,402","0","624,530","8,598,872","200","50,407","1,695,128","9,309,998","29,847","855,293","167,141","1,195,415","21,902,301","2,000,000","2,596,619","17,650","26,516,570",
"2010","22","CLAYTON","7,224,872","17,267","336,746","6,870,859","6,744","68,395","1,139,897","5,668,083","22,682","427,342","250,081","410,103","14,864,186","0","1,400,000","12,040","16,276,226",
"2023","84","SIOUX","9,912,173","439","557,954","9,353,780","740","75,910","2,586,815","9,620,230","93,296","1,273,346","1,644,235","1,932,696","26,581,048","0","4,863,169","63,556","31,507,773",
"2011","39","GUTHRIE","3,580,965","0","0","3,580,965","857","49,783","1,024,155","5,188,082","39,067","513,657","117,880","585,467","11,099,913","0","1,426,169","7,450","12,533,532",
"2011","67","MONONA","4,673,519","0","0","4,673,519","3,557","48,625","462,059","4,453,844","23,441","271,494","507,186","128,219","10,571,944","0","1,153,616","0","11,725,560",
"2018","24","Crawford","8,765,435","1,950","454,038","8,309,447","1,366","48,384","865,079","6,576,479","22,119","1,056,403","114,085","235,180","17,228,542","0","3,414,518","199,143","20,842,203",
"2017","37","GREENE","4,972,789","0","326,065","4,646,724","1,471","27,321","752,599","4,289,558","61,411","492,931","51,197","976,606","11,299,818","0","1,546,928","33,769","12,880,515",
"2010","34","FLOYD","5,231,481","0","263,264","4,968,217","10,499","56,230","747,876","5,872,803","28,424","493,581","133,517","387,696","12,698,843","7,555,425","986,712","0","21,240,980",
"2022","51","JEFFERSON","7,750,934","5,475","372,386","7,373,073","-1,974","58,707","1,123,523","6,307,815","26,919","1,070,192","69,061","171,495","16,198,811","0","1,100,000","0","17,298,811",
"2010","93","WAYNE","2,299,248","25,640","126,465","2,147,143","563","32,241","71,280","3,314,936","6,118","265,655","36,787","906,821","6,781,544","0","1,768,532","39,738","8,589,814",
"2024","38","GRUNDY","7,261,418","0","0","7,261,418","95","35,440","1,020,907","5,591,489","43,897","456,212","593,814","366,671","15,369,943","0","3,682,574","38,333","19,090,850",
"2019","26","Davis","4,210,814","0","0","4,210,814","921","41,989","844,539","4,282,290","4,299","15,062","193,181","453,183","10,046,278","900,940","0","0","10,947,218",
"2014","72","OSCEOLA","3,637,482","0","201,956","3,435,526","122","16,298","593,462","2,541,947","21,955","321,682","68,573","77,410","7,076,975","3,440,964","1,372,388","16,850","11,907,177",
