"FISCAL YEAR","COUNTY NUMBER","County","PUBLIC SAFETY AND LEGAL SERVICES","PHYSICAL HEALTH SOCIAL SERVICES","MENTAL HEALTH, ID & DD","COUNTY ENVIRONMENT AND EDUCATION","ROADS & TRANSPORTATION","GOVERNMENT SERVICES TO RESIDENTS","ADMINISTRATION","NONPROGRAM CURRENT","DEBT SERVICE","CAPITAL PROJECTS","SUBTOTAL EXPENDITURES","OPERATING TRANSFERS OUT","REFUNDED DEBT/PAYMENTS TO ESCROW","TOTAL EXPENDITURES & OTHER USES","Primary County Coordinates"
"2022","20","CLARKE","2,580,021","768,924","517,064","357,484","3,844,660","524,310","1,134,613","0","84,939","4,100","9,816,115","898,870","0","10,714,985",
"2015","96","WINNESHIEK","2,640,629","1,296,910","1,550,997","1,683,668","5,938,484","548,224","2,013,816","3,712","0","1,688,487","17,364,927","2,324,543","0","19,689,470",
"2016","86","TAMA","3,177,052","1,512,331","831,171","973,325","6,526,626","521,941","1,339,635","6,039","250,485","662,493","15,801,098","2,246,911","0","18,048,009",
"2020","50","JASPER","7,086,925","1,928,931","1,326,143","1,628,017","8,324,215","1,299,940","3,418,537","201,930","1,390,213","1,670,793","28,275,644","6,149,838","0","34,425,482",
"2019","80","RINGGOLD","1,336,738","854,002","745,823","348,673","3,976,655","262,755","877,045","0","269,856","62,608","8,734,155","813,975","0","9,548,130",
"2021","67","MONONA","2,231,037","192,229","272,581","922,950","7,829,370","485,526","1,420,046","0","0","2,143,238","15,496,977","2,036,441","0","17,533,418",
"2015","53","JONES","2,544,354","684,731","1,113,787","856,468","6,234,058","617,770","1,769,490","178,963","0","1,018,410","15,018,031","1,943,847","0","16,961,878",
"2012","15","CASS","1,943,844","468,751","2,111,138","425,642","4,397,373","400,834","1,130,237","928,553","249,448","2,176,455","14,232,275","2,254,497","0","16,486,772",
"2017","14","CARROLL","3,588,543","1,075,132","914,343","1,122,595","6,004,736","521,564","1,656,536","34,146","23,610","1,663,871","16,605,076","2,370,249","0","18,975,325",
"2010","97","WOODBURY","13,347,078","5,540,717","11,464,245","2,100,869","7,617,416","1,995,878","5,483,036","19,574","793,611","1,990,194","50,352,618","6,559,710","0","56,912,328",
"2024","34","FLOYD","3,766,723","1,238,603","0","892,615","6,178,080","845,245","1,720,855","0","1,703,875","7,427,954","23,773,950","1,484,968","0","25,258,918",
"2016","29","DES MOINES","6,186,404","1,408,560","1,970,031","1,288,820","4,915,195","973,765","3,153,754","0","2,949,366","1,523,258","24,369,153","2,001,085","0","26,370,238",
"2018","46","HUMBOLDT","2,113,138","342,634","608,730","751,305","3,122,019","436,491","1,105,630","4,957,692","127,842","3,076,883","16,642,364","1,853,918","0","18,496,282",
"2023","38","GRUNDY","2,488,577","524,040","0","1,225,387","7,506,393","522,985","2,833,404","0","601,132","2,656,597","18,358,515","5,191,383","0","23,549,898",
"2013","97","WOODBURY","13,218,576","5,087,440","5,377,835","2,109,914","6,900,632","2,109,738","5,858,173","8,422","1,014,028","2,680,364","44,365,122","6,340,279","0","50,705,401",
"2021","26","DAVIS","1,840,825","388,373","413,045","420,782","4,739,564","467,616","1,076,202","67,313","400,605","954,083","10,768,408","978,265","0","11,746,673",
"2016","54","KEOKUK","1,058,535","542,995","152,384","360,593","4,557,625","356,845","1,628,218","0","0","597,908","9,255,103","1,618,150","0","10,873,253",
"2022","76","POCAHONTAS","2,279,249","1,456,707","429,414","1,104,831","5,168,085","396,533","1,839,254","10,713","0","71,855","12,756,641","1,710,286","0","14,466,927",
"2020","8","BOONE","4,179,176","629,846","1,103,387","1,196,769","6,565,488","670,141","2,018,266","147,344","656,391","958,796","18,125,604","3,567,636","0","21,693,240",
"2021","11","BUENA VISTA","4,489,435","1,463,509","904,864","1,218,703","5,556,082","947,079","2,185,227","231,638","1,306,966","1,119,552","19,423,055","2,819,219","0","22,242,274",
"2019","95","WINNEBAGO","2,178,213","1,230,836","926,940","761,181","3,926,888","567,942","1,129,113","17,760","2,694,751","909,541","14,343,165","1,691,289","0","16,034,454",
"2017","9","BREMER","3,811,165","1,706,809","1,130,305","1,421,125","5,233,430","764,406","1,596,210","12,466","327,260","1,436,090","17,439,266","3,142,287","0","20,581,553",
"2015","21","CLAY","2,749,452","721,513","1,162,259","2,122,490","4,476,329","408,531","1,791,757","2,598","503,697","2,191,479","16,130,105","3,327,214","0","19,457,319",
"2021","62","MAHASKA","4,244,032","705,723","839,312","1,052,898","7,362,629","687,209","1,894,699","0","1,028,408","1,018,984","18,833,894","3,352,546","0","22,186,440",
"2024","93","WAYNE","2,448,637","1,294,482","0","447,583","4,598,247","357,237","1,377,115","1,236,952","254,200","1,496,245","13,510,698","894,606","0","14,405,304",
"2022","62","MAHASKA","4,022,311","719,955","984,167","1,320,377","7,520,298","685,189","1,838,014","0","1,109,122","5,508,291","23,707,724","2,353,703","0","26,061,427",
"2023","11","BUENA VISTA","5,448,784","1,884,325","0","1,393,844","6,826,175","992,702","2,586,913","273,121","1,547,402","2,981,634","23,934,900","3,590,302","0","27,525,202",
"2024","66","MITCHELL","2,411,438","1,258,539","0","1,760,056","5,342,790","574,691","1,969,567","11,000","4,669,329","876,942","18,874,352","1,957,070","0","20,831,422",
"2017","46","HUMBOLDT","2,021,261","387,248","717,038","707,873","3,734,494","470,688","1,100,690","0","87,837","1,237,692","10,464,821","2,000,901","0","12,465,722",
"2024","71","OBRIEN","4,568,778","599,507","0","1,189,702","5,261,426","733,182","2,886,124","12,430","0","1,060,957","16,312,106","5,310,869","0","21,622,975",
"2023","96","WINNESHIEK","4,810,918","1,493,980","0","3,324,835","9,605,637","682,528","2,881,749","2,500","0","1,822,134","24,624,281","2,846,379","0","27,470,660",
"2022","79","POWESHIEK","3,388,536","347,323","459,421","669,618","6,198,435","678,353","3,208,592","183,305","1,401,058","3,185,247","19,719,888","3,354,215","0","23,074,103",
"2022","44","HENRY","4,665,157","1,373,756","676,369","1,090,211","5,200,520","770,847","1,815,704","85,310","884,813","2,819,773","19,382,460","1,754,525","0","21,136,985",
"2021","43","HARRISON","3,254,621","2,056,468","353,350","1,254,371","7,331,176","641,067","1,478,340","0","121,265","870,665","17,361,323","2,259,900","0","19,621,223",
"2016","61","MADISON","2,675,287","817,419","462,437","780,738","5,254,434","529,836","993,343","0","94,030","586,603","12,194,127","1,349,552","0","13,543,679",
"2022","5","AUDUBON","1,601,633","373,625","401,145","1,756,911","4,442,107","481,457","943,527","0","612,436","4,415,282","15,028,123","3,893,537","0","18,921,660",
